time,open,high,low,close,volume
1770439200,105371000,105074000,105410000,105063000,4.13926193
1770439500,105063000,105044000,105206000,104946000,5.61210083
1770439800,105042000,105110000,105202000,105030000,1.65346853
1770440100,105143000,105135000,105149000,104976000,3.47006514
1770440400,105110000,105207000,105337000,105079000,3.88990777
1770440700,105202000,105345000,105345000,105063000,2.40568958
1770441000,105345000,105456000,105457000,105188000,5.29039012
1770441300,105458000,105561000,105662000,105430000,5.6372049
1770441600,105560000,105686000,105787000,105550000,3.90733415
1770441900,105686000,104480000,105686000,104333000,17.56353972
1770442200,104402000,104529000,104618000,104400000,5.41765372
1770442500,104569000,104439000,104736000,104416000,3.51154735
1770442800,104431000,104401000,104439000,104252000,3.0974509
1770443100,104401000,104315000,104422000,104204000,4.22078401
1770443400,104253000,104005000,104300000,104000000,7.00095846
1770443700,104002000,104192000,104195000,103847000,9.29862923
1770444000,104184000,104232000,104232000,104040000,4.72346476
1770444300,104232000,104224000,104432000,104120000,5.49695905
1770444600,104200000,104029000,104264000,104001000,3.57603443
1770444900,104069000,103930000,104102000,103804000,4.33134639
1770445200,103878000,104163000,104163000,103878000,2.99597358
1770445500,104146000,104265000,104296000,104141000,4.40992101
1770445800,104264000,104220000,104304000,104200000,3.60203899
1770446100,104211000,104218000,104310000,104117000,2.34454962
1770446400,104218000,103958000,104263000,103800000,4.89121024
1770446700,103926000,103605000,103975000,103600000,8.79152192
1770447000,103600000,103000000,103624000,102997000,17.15076253
1770447300,102997000,101997000,103054000,101996000,28.40963767
1770447600,101997000,101939000,102416000,101900000,20.80993122
1770447900,101939000,101373000,102078000,101129000,32.37659588
1770448200,101373000,100563000,101569000,100555000,37.27971385
1770448500,100555000,100234000,100775000,99500000,81.78953804
1770448800,100234000,100228000,100693000,100046000,16.60523049
1770449100,100225000,100599000,100666000,100225000,18.48591314
1770449400,100580000,100142000,100608000,99974000,18.62897579
1770449700,100141000,100504000,100504000,100090000,10.02330133
1770450000,100504000,101385000,101554000,100487000,27.26472138
1770450300,101385000,100904000,101386000,100500000,14.42274987
1770450600,100900000,100898000,101047000,100755000,4.71229577
1770450900,100886000,100846000,101006000,100800000,5.3257146
1770451200,100846000,100737000,100846000,100125000,11.88036553
1770451500,100737000,100598000,100953000,100549000,5.81449086
1770451800,100555000,100950000,101252000,100501000,7.10228442
1770452100,100938000,100967000,101025000,100742000,2.90359493
1770452400,100932000,101301000,101301000,100915000,3.49522919
1770452700,101300000,101167000,101485000,101166000,13.60663303
1770453000,101167000,101520000,101665000,101127000,9.39420027
1770453300,101520000,101235000,101567000,101216000,5.16857642
1770453600,101216000,101304000,101459000,101210000,3.76640345
1770453900,101246000,101623000,101623000,101246000,1.93772876
1770454200,101612000,101666000,101792000,101557000,4.79900514
1770454500,101666000,101542000,101666000,101500000,1.7069645
1770454800,101521000,101630000,101774000,101492000,5.91805521
1770455100,101630000,101705000,101745000,101440000,3.54902905
1770455400,101652000,101800000,101834000,101652000,6.96465355
1770455700,101800000,101635000,101834000,101486000,3.58746407
1770456000,101635000,101724000,101738000,101559000,2.02430277
1770456300,101724000,101515000,101758000,101503000,4.79474625
1770456600,101503000,100999000,101515000,100804000,6.80051856
1770456900,100999000,100803000,101089000,100785000,4.99282635
1770457200,100806000,100813000,100912000,100739000,2.68200193
1770457500,100813000,100635000,100912000,100626000,3.67156942
1770457800,100635000,100599000,100635000,100398000,8.87480158
1770458100,100599000,100802000,100828000,100519000,6.5443023
1770458400,100802000,100925000,101035000,100728000,2.1107492
1770458700,100925000,100680000,100929000,100599000,3.12536003
1770459000,100680000,100503000,100684000,100500000,4.45232905
1770459300,100503000,100533000,100661000,100317000,9.92666311
1770459600,100533000,100700000,100702000,100492000,2.82584484
1770459900,100700000,100478000,100752000,100475000,4.3034577
1770460200,100512000,100280000,100634000,100280000,3.2872079
1770460500,100280000,99900000,100396000,99809000,9.78109538
1770460800,99900000,100212000,100251000,99876000,12.21160449
1770461100,100212000,100000000,100296000,99746000,8.78355804
1770461400,99996000,100341000,100341000,99970000,9.64255158
1770461700,100341000,100494000,100510000,100310000,5.55222897
1770462000,100494000,100610000,100610000,100358000,3.64423877
1770462300,100610000,100623000,100680000,100491000,2.55818651
1770462600,100623000,100500000,100682000,100499000,4.04836078
1770462900,100500000,100577000,100587000,100455000,2.26998483
1770463200,100577000,100374000,100682000,100374000,2.33201808
1770463500,100382000,100407000,100429000,100342000,3.8273982
1770463800,100407000,100421000,100533000,100374000,1.07081683
1770464100,100421000,100282000,100444000,100228000,1.51789666
1770464400,100282000,100219000,100343000,100200000,2.03560105
1770464700,100219000,100144000,100300000,100110000,5.24792122
1770465000,100153000,100045000,100230000,99990000,4.1782522
1770465300,100045000,100492000,100516000,99994000,6.66327011
